2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-18 22:13:04,509 p=96494 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:13:05,917 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:05,934 p=96494 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:13:05,945 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:05,975 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:13:06,717 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:06,736 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:13:07,077 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:07,094 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:13:07,797 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:07,828 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:13:08,129 p=96494 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:13:08,145 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:13:08,156 p=96494 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:13:08,171 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:13:08,609 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:08,628 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:13:08,966 p=96494 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:13:08,966 p=96494 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:13:08,985 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:13:09,010 p=96494 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:13:09,045 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:13:10,891 p=96494 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:10,927 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:13:12,326 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:12,356 p=96494 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:13:13,373 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:13,403 p=96494 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:13:13,884 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:13,926 p=96494 u=craig n=ansible | TASK [docker_lxc : Verify that the target is online/contactable] ********************************************************************************************************************************
2023-01-18 22:13:14,350 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:14,381 p=96494 u=craig n=ansible | TASK [docker_lxc : Install Docker] **************************************************************************************************************************************************************
2023-01-18 22:13:15,600 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:15,633 p=96494 u=craig n=ansible | TASK [docker_lxc : Enable Docker] ***************************************************************************************************************************************************************
2023-01-18 22:13:16,667 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:16,702 p=96494 u=craig n=ansible | TASK [docker_lxc : Start Docker] ****************************************************************************************************************************************************************
2023-01-18 22:13:17,560 p=96494 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:13:17,588 p=96494 u=craig n=ansible | TASK [docker_lxc : Make sure the required Python packages are installed] ************************************************************************************************************************
2023-01-18 22:13:17,988 p=96494 u=craig n=ansible | failed: [192.168.1.99 -> 192.168.1.4] (item=requests) => {"ansible_loop_var": "item", "changed": false, "item": "requests", "msg": "Unable to find any of pip3 to use.  pip needs to be installed."}
2023-01-18 22:13:17,991 p=96494 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:13:17,991 p=96494 u=craig n=ansible | 192.168.1.99               : ok=17   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:16:45,901 p=96989 u=craig n=ansible | ERROR! conflicting action statements: ansible.builtin.pip, executable

The error appears to be in '/Users/craig/Projects/homelab/ansible/roles/docker_lxc/tasks/main.yaml': line 24, column 3, but may
be elsewhere in the file depending on the exact syntax problem.
